tid,Age on effective date of action,Sex,Total number in household,Number of dependents,Number of bedrooms in unit,"Adjusted annual income: 8a minus 8x (if 8x is larger, put 0)",TTP if based on adjusted annual income: (9d x 9e) / 100,Most recent ( Previous)TTP,"Utility allowance, if any","Tenant rent: 10d minus 10en If positive or 0, put tenant rent If negative, credit tenant"
t0011021,78,F,1,0,1,17958,449,449,36,413
t0011055,77,F,1,0,1,19515,488,442,36,452
t0009963,39,F,1,0,1,9020,226,158,36,190
t0015988,41,M,1,0,1,9164,229,226,36,193
t0016468,30,M,2,1,1,7736,194,190,60,134
t0012001,53,F,1,0,1,4383,110,94,36,74
t0011060,67,F,1,0,1,9008,225,221,36,189
t0011042,54,F,1,0,1,21216,530,479,36,494
t0011062,82,F,1,0,1,26743,669,662,36,633
t0011091,60,F,2,0,2,32625,816,596,43,773
t0015849,26,M,1,0,1,19568,489,904,36,453
t0007356,52,F,1,0,1,10988,275,266,36,239
t0011053,47,M,1,0,1,18824,471,364,36,435
t0011651,54,F,2,1,2,10680,267,261,69,198
