tid,age,sex,num_hh,num_dep,num_br,income,rent,total_trans,late_trans
t0011020,64,M,1,0,1,9404,199,50,6
t0011022,72,M,1,0,1,14203,319,50,8
t0012770,64,F,1,0,1,5050,90,51,0
t0011038,60,M,1,0,1,9164,193,50,7
t0016772,64,F,1,0,1,9629,205,42,15
t0011018,60,F,1,0,1,0,14,69,37
t0013099,26,F,3,2,1,0,14,52,0
t0011058,67,F,1,0,1,10462,226,50,2
t0011021,78,F,1,0,1,17958,413,59,2
t0011055,77,F,1,0,1,19515,452,61,2
t0009963,39,F,1,0,1,9020,190,23,1
t0015988,41,M,1,0,1,9164,193,48,12
t0016468,30,M,2,1,1,7736,134,54,41
t0012001,53,F,1,0,1,4383,74,61,0
t0011060,67,F,1,0,1,9008,189,50,6
t0011042,54,F,1,0,1,21216,494,55,14
t0011062,82,F,1,0,1,26743,633,50,23
t0011091,60,F,2,0,2,32625,773,57,3
t0015849,26,M,1,0,1,19568,453,30,6
t0007356,52,F,1,0,1,10988,239,21,9
t0011053,47,M,1,0,1,18824,435,50,3
t0011651,54,F,2,1,2,10680,198,52,2
t0011054,64,F,1,0,1,8780,184,50,1
t0024903,55,F,1,0,1,9737,243,12,0
t0012131,58,M,1,0,1,720,50,50,7
t0007360,76,F,1,0,1,8758,219,51,19
t0012119,58,F,1,0,1,9260,232,50,4
t0011130,66,F,1,0,1,9296,233,62,36
t0016723,62,M,1,0,1,7316,183,43,5
t0038031,80,F,1,0,2,19511,488,14,0
t0024965,55,M,1,0,1,9020,226,19,6
t0036999,57,M,1,0,1,8564,214,26,1
t0016200,62,F,1,0,1,200,50,46,0
t0007084,65,M,2,0,2,14264,357,65,23
t0037563,55,M,1,0,2,9020,226,14,1
t0007146,75,F,1,0,1,9164,229,50,1
t0024847,60,M,1,0,1,9164,229,43,20
t0011283,66,M,1,0,1,9164,229,34,10
t0007246,66,M,1,0,1,9404,235,77,39
t0014860,70,F,1,0,1,8996,225,50,0
t0016055,64,F,1,0,1,8996,225,47,0
t0007218,87,M,1,0,1,10184,255,50,0
t0007838,80,M,1,0,1,9404,235,50,1
t0007839,65,F,1,0,1,10268,257,72,27
t0007830,64,F,1,0,1,8205,205,50,0
t0015834,56,M,1,0,1,9260,232,50,9
t0015836,85,M,1,0,1,9368,234,50,3
t0020534,54,M,1,0,1,11756,294,14,0
t0025081,74,M,1,0,1,9164,229,34,0
t0025127,68,M,1,0,1,9260,232,35,9
t0015872,66,F,1,0,1,9296,233,51,0
t0020112,60,M,1,0,1,8996,225,34,7
t0014336,64,M,2,0,2,15373,384,51,0
t0012461,69,M,1,0,1,9236,231,73,30
t0012374,63,F,1,0,1,10496,263,52,30
t0037407,60,M,1,0,1,8996,225,22,7
t0016780,57,F,1,0,1,600,50,40,0
t0007659,76,F,1,0,1,8660,217,69,50
t0037561,63,M,1,0,1,8996,225,22,7
t0012143,61,M,1,0,1,1200,50,22,5
t0012045,58,F,1,0,1,9164,229,61,5
t0034304,73,M,1,0,1,9512,238,19,1
t0007654,72,M,1,0,1,9344,234,50,5
t0016005,54,F,1,0,1,16361,409,49,0
t0007675,77,F,1,0,2,8852,221,50,4
t0007676,61,M,1,0,1,9020,226,50,1
b0036886,74,M,1,0,1,9164,229,28,0
